module_name,current_version,newest_version,links,notes,tag
Microsoft.ApplicationInsights.Profiler.Core.dll,,,https://api.nuget.org/v3-flatcontainer/microsoft.applicationinsights.profiler.core/index.json,,1
Microsoft.WindowsAzure.Storage.dll,,,https://api.nuget.org/v3-flatcontainer/windowsazure.storage/index.json,,1
Microsoft.IdentityModel.Protocols.WsTrust.dll,,,,,0
System.ServiceModel.NetTcp.dll,,,https://api.nuget.org/v3-flatcontainer/system.servicemodel.nettcp/index.json,,1
System.Drawing.Common.dll,,,,,0
Microsoft.Azure.ServiceBus.dll,,,https://api.nuget.org/v3-flatcontainer/azure.messaging.servicebus/index.json,,1
Microsoft.ServiceProfiler.Common.Utilities.dll,,,,,0
Microsoft.ApplicationInsights.AspNetCore.dll,,,https://api.nuget.org/v3-flatcontainer/microsoft.applicationinsights.aspnetcore/index.json,,1
System.ServiceModel.Primitives.dll,,,,,0
System.Private.ServiceModel.resources.dll,,,,,0
Microsoft.CodeAnalysis.Workspaces.resources.dll,,,,,0
Microsoft.CodeAnalysis.CSharp.Workspaces.resources.dll,,,,,0
Microsoft.CodeAnalysis.resources.dll,,,,,0
Microsoft.CodeAnalysis.CSharp.resources.dll,,,,,0
System.IO.Packaging.dll,,,,,0
Microsoft.Identity.Client.Extensions.Msal.dll,,,,,0
Microsoft.CodeAnalysis.CSharp.Workspaces.dll,,,,,0
System.Windows.Extensions.dll,,,,,0
Microsoft.ServiceProfiler.Contract.Agent.dll,,,,,0
Microsoft.ServiceProfiler.EventPipe.Orchestration.dll,,,,,0
Microsoft.Win32.SystemEvents.dll,,,,,0
Microsoft.Rest.ClientRuntime.dll,,,,,0
Microsoft.EntityFrameworkCore.Design.dll,,,,,0
Microsoft.ServiceProfiler.Orchestration.dll,,,,,0
Microsoft.IdentityModel.Clients.ActiveDirectory.dll,,,,,0
System.Diagnostics.PerformanceCounter.dll,,,https://api.nuget.org/v3-flatcontainer/system.diagnostics.performancecounter/index.json,,1
Microsoft.AI.PerfCounterCollector.dll,,,https://api.nuget.org/v3-flatcontainer/microsoft.applicationinsights.perfcountercollector/index.json,,1
System.Composition.Convention.dll,,,,,0
Microsoft.ServiceProfiler.Utilities.dll,,,,,0
Microsoft.ServiceProfiler.Agent.FrontendClient.dll,,,,,0
Microsoft.Azure.Amqp.dll,,,https://api.nuget.org/v3-flatcontainer/microsoft.azure.amqp/index.json,,1
Microsoft.Azure.KeyVault.Core.dll,,,,,0
System.ServiceModel.Security.dll,,,https://api.nuget.org/v3-flatcontainer/system.servicemodel.security/index.json,,1
Microsoft.ServiceProfiler.Agent.Exceptions.dll,,,,,0
System.IO.Hashing.dll,,,,,0
Microsoft.AspNetCore.Authentication.OpenIdConnect.dll,,,https://api.nuget.org/v3-flatcontainer/microsoft.aspnetcore.authentication.openidconnect/index.json,,1
Microsoft.IO.RecyclableMemoryStream.dll,,,https://api.nuget.org/v3-flatcontainer/microsoft.io.recyclablememorystream/index.json,,1
System.ServiceModel.Federation.dll,,,,,0
System.Security.Cryptography.ProtectedData.dll,,,,,0
Microsoft.Extensions.DependencyModel.dll,,,https://api.nuget.org/v3-flatcontainer/microsoft.extensions.dependencymodel/index.json,,1
System.ServiceModel.dll,,,,,0
Microsoft.ServiceProfiler.ProcessMonitor.dll,,,,,0
System.CodeDom.dll,,,https://api.nuget.org/v3-flatcontainer/system.codedom/index.json,,1
System.Configuration.ConfigurationManager.dll,,,https://api.nuget.org/v3-flatcontainer/system.configuration.configurationmanager/index.json,,1
Microsoft.ServiceProfiler.HttpPipeline.dll,,,,,0
Microsoft.IdentityModel.Tokens.Saml.dll,,,https://api.nuget.org/v3-flatcontainer/microsoft.identitymodel.tokens.saml/index.json,,1
System.Composition.TypedParts.dll,,,https://api.nuget.org/v3-flatcontainer/system.composition.typedparts/index.json,,1
System.Linq.Async.dll,,,https://api.nuget.org/v3-flatcontainer/system.linq.async/index.json,,1
Microsoft.ServiceProfiler.Contract.Agent.Profiler.dll,,,,,0
Microsoft.CodeAnalysis.Razor.dll,,,https://api.nuget.org/v3-flatcontainer/microsoft.codeanalysis.razor/index.json,,1
Microsoft.Extensions.Logging.ApplicationInsights.dll,,,https://api.nuget.org/v3-flatcontainer/microsoft.extensions.logging.applicationinsights/index.json,,1
Microsoft.EntityFrameworkCore.Abstractions.dll,,,https://api.nuget.org/v3-flatcontainer/microsoft.entityframeworkcore.abstractions/index.json,,1
Microsoft.ServiceProfiler.Logging.dll,,,,,0
Microsoft.AspNetCore.Mvc.Razor.Extensions.dll,,,https://api.nuget.org/v3-flatcontainer/microsoft.aspnetcore.mvc.razor.extensions/index.json,,1
Microsoft.Rest.ClientRuntime.Azure.dll,,,,,0
